month,month_name,regime,policy,picking_workers,packing_workers,dispatch_workers,total_workers,total_orders,urgent_orders,normal_orders,urgent_share,total_sla,urgent_sla,normal_sla,mean_system_time_min,p90_system_time_min,urgent_late_orders,normal_late_orders,completed_orders,unfinished_orders,unfinished_urgent_orders,unfinished_normal_orders,backlog_share,estimated_late_cost,estimated_worker_cost,estimated_total_cost,savings_total_cost_vs_fifo_same_month_regime,savings_total_cost_vs_urgent_first_same_month_regime,p_urgent_overall,p_urgent_pick,p_urgent_pack,p_urgent_dispatch,decisions_total,decisions_pick,decisions_pack,decisions_dispatch,cost_late_urgent,cost_late_normal,worker_cost_per_hour,hours_per_worker_month,feasible,urgent_sla_target,normal_sla_target,sla_violation,scenario_seed,picking_utilisation,picking_avg_wait_min,picking_p95_wait_min,picking_avg_queue_len,picking_max_queue_len,picking_late_wait_share,picking_pressure_score,packing_utilisation,packing_avg_wait_min,packing_p95_wait_min,packing_avg_queue_len,packing_max_queue_len,packing_late_wait_share,packing_pressure_score,dispatch_utilisation,dispatch_avg_wait_min,dispatch_p95_wait_min,dispatch_avg_queue_len,dispatch_max_queue_len,dispatch_late_wait_share,dispatch_pressure_score
1,January,s13_8_4,fifo,13,8,4,25,31200,6250,24950,0.2003,0.7890705128205128,0.29136,0.91374749498998,392.468258624273,771.0695161250001,4429.0,2152.0,28520,2680,528,2152,0.0859,99340.0,60000.0,159340.0,0.0,-74385.0,,,,,,,,,20.0,5.0,15.0,160.0,False,0.95,0.8,0.6586,124,0.958,380.41,842.37,1178.329,2991,0.9912,0.9814,0.8888,0.47,1.58,1.406,16,0.0009,0.3563,0.9499,3.81,10.98,11.329,54,0.0079,0.3862
1,January,s13_8_4,urgent_first,13,8,4,25,31200,6250,24950,0.2003,0.8401282051282051,0.99984,0.800120240480962,315.89871378566824,1135.8181720283337,1.0,4987.0,28402,2798,1,2797,0.0897,24955.0,60000.0,84955.0,74385.0,0.0,,,,,,,,,20.0,5.0,15.0,160.0,True,0.95,0.8,0.0,124,0.958,301.83,1796.91,1204.127,3064,0.9976,0.9827,0.8911,0.59,1.92,1.753,20,0.0003,0.357,0.9511,5.44,15.53,16.576,73,0.0021,0.3851
1,January,s13_8_4,rl3_dqn,13,8,4,25,31200,6250,24950,0.2003,0.00233974358974359,0.00944,0.0005611222444889779,3188.4848932545397,5382.324372759894,6191.0,24936.0,2087,29113,4177,24936,0.9331,248500.0,60000.0,308500.0,-149160.0,-223545.0,0.9966346153846154,0.9966346153846154,0.0,0.0,2080.0,2080.0,0.0,0.0,20.0,5.0,15.0,160.0,False,0.95,0.8,1.74,124,0.0765,3179.12,5741.22,14041.444,29112,0.9999,0.6306,0.0765,0.42,2.31,0.091,3,0.0001,0.0307,0.0836,0.02,0.12,0.004,1,0.0,0.0334
1,January,s19_12_6,fifo,19,12,6,37,31200,6250,24950,0.2003,0.9444230769230769,0.88608,0.9590380761523046,79.70105542730994,220.03315411666668,712.0,1022.0,29936,1264,242,1022,0.0405,19350.0,88800.0,108150.0,0.0,-12885.0,,,,,,,,,20.0,5.0,15.0,160.0,False,0.95,0.8,0.0639,124,0.688,71.07,265.25,233.612,1430,0.9949,0.8742,0.6218,0.18,0.87,0.556,12,0.001,0.2501,0.665,0.63,2.07,1.976,30,0.0041,0.27
1,January,s19_12_6,urgent_first,19,12,6,37,31200,6250,24950,0.2003,0.9586538461538462,0.99984,0.9483366733466934,79.41231933924774,391.78415770166794,1.0,1289.0,29910,1290,1,1289,0.0413,6465.0,88800.0,95265.0,12885.0,0.0,,,,,,,,,20.0,5.0,15.0,160.0,True,0.95,0.8,0.0,124,0.688,70.34,512.84,236.863,1447,0.9952,0.8743,0.6228,0.2,0.9,0.629,14,0.0048,0.2509,0.6659,0.97,2.4,3.119,46,0.0,0.2695
1,January,s19_12_6,rl3_dqn,19,12,6,37,31200,6250,24950,0.2003,0.00233974358974359,0.00944,0.0005611222444889779,3188.4848932545397,5382.324372759894,6191.0,24936.0,2087,29113,4177,24936,0.9331,248500.0,88800.0,337300.0,-229150.0,-242035.0,0.9966346153846154,0.9966346153846154,0.0,0.0,2080.0,2080.0,0.0,0.0,20.0,5.0,15.0,160.0,False,0.95,0.8,1.74,124,0.0523,3179.12,5741.22,14041.444,29112,0.9999,0.6209,0.051,0.42,2.31,0.091,3,0.0001,0.0205,0.0557,0.02,0.12,0.004,1,0.0,0.0223
1,January,s17_11_5,fifo,17,11,5,33,31200,6250,24950,0.2003,0.9129807692307692,0.74352,0.9554308617234469,121.5076677172256,309.3256630766667,1603.0,1112.0,29819,1381,269,1112,0.0443,37620.0,79200.0,116820.0,0.0,-30270.0,,,,,,,,,20.0,5.0,15.0,160.0,False,0.95,0.8,0.2065,124,0.7663,97.9,314.04,317.862,1513,0.9138,0.8893,0.6761,0.17,0.83,0.532,9,0.0006,0.2715,0.7948,15.63,55.98,48.545,281,0.0856,0.4025
1,January,s17_11_5,urgent_first,17,11,5,33,31200,6250,24950,0.2003,0.9529807692307692,0.99984,0.9412424849699399,125.22903144252052,515.1224551883332,1.0,1466.0,29748,1452,1,1451,0.0465,7350.0,79200.0,86550.0,30270.0,0.0,,,,,,,,,20.0,5.0,15.0,160.0,True,0.95,0.8,0.0,124,0.7663,98.07,734.95,323.94,1533,0.3188,0.7703,0.6771,0.19,0.87,0.582,13,0.0016,0.2717,0.7949,18.84,46.38,59.072,291,0.6796,0.497
1,January,s17_11_5,rl3_dqn,17,11,5,33,31200,6250,24950,0.2003,0.00233974358974359,0.00944,0.0005611222444889779,3188.4848932545397,5382.324372759894,6191.0,24936.0,2087,29113,4177,24936,0.9331,248500.0,79200.0,327700.0,-210880.0,-241150.0,0.9966346153846154,0.9966346153846154,0.0,0.0,2080.0,2080.0,0.0,0.0,20.0,5.0,15.0,160.0,False,0.95,0.8,1.74,124,0.0585,3179.12,5741.22,14041.444,29112,0.9999,0.6234,0.0556,0.42,2.31,0.091,3,0.0001,0.0224,0.0668,0.02,0.12,0.004,1,0.0,0.0267
1,January,s17_10_6,fifo,17,10,6,33,31200,6250,24950,0.2003,0.9176602564102564,0.7648,0.9559519038076152,106.5774099165907,270.83154121,1470.0,1099.0,29837,1363,264,1099,0.0437,34895.0,79200.0,114095.0,0.0,-27960.0,,,,,,,,,20.0,5.0,15.0,160.0,False,0.95,0.8,0.1852,124,0.7663,97.9,314.04,317.862,1513,0.9967,0.9059,0.7437,0.72,2.07,2.225,24,0.0029,0.3008,0.6627,0.12,0.57,0.387,9,0.0004,0.2658
